Stock,RS_Rating,Price,50 SMA,150 SMA,200 SMA,52 Week Low,52 Week High
NVDA,57.35189056421389,312.5,264.56,240.1,222.35,133.46932983398438,314.51190185546875
ANSS,57.34644453130314,263.0199890136719,241.24,248.47,239.18,175.24000549316406,296.1400146484375
CCC,57.264900104299144,23.690000534057617,21.37,19.19,18.63,12.920000076293945,24.510000228881836
RNG,57.22324413211914,266.7300109863281,217.59,194.36,179.31,110.91999816894531,266.7300109863281
DOCU,57.18199444845439,116.55999755859375,91.58,79.37,72.74,43.90999984741211,117.69999694824219
QDEL,57.156595085792276,158.60000610351562,103.69,81.21,76.15,53.630001068115234,158.60000610351562
PRTS,57.08893729726245,4.670000076293945,2.36,2.27,2.05,0.9700000286102295,4.670000076293945
RGEN,57.0667424543005,122.8499984741211,100.79,93.75,92.07,67.02999877929688,124.70999908447266
AMGN,57.06502471667181,234.82000732421875,214.92,220.12,213.32,162.75596618652344,242.42999267578125
BMY,56.98487061980007,61.04999923706055,57.15,58.9,55.88,41.77059555053711,66.8764877319336
VGLT,56.96491972044417,100.19000244140625,99.92,90.24,89.07,74.94182586669922,104.68946075439453
SEDG,56.96400119623367,118.31999969482422,98.87,96.35,92.05,50.0,142.1999969482422
ASML,56.922317623429414,304.3999938964844,270.63,277.49,265.02,185.2335968017578,315.8407287597656
TLT,56.882287608061326,163.97999572753906,163.52,147.47,145.54,122.22486114501953,171.06809997558594
HUM,56.875532904349946,377.5,330.67,332.93,319.51,213.97886657714844,384.05999755859375
CWEN,56.85416242657254,21.020000457763672,19.73,19.84,19.23,14.488751411437988,22.881620407104492
KGC,56.8361235693019,7.019999980926514,5.47,4.95,4.92,3.049999952316284,7.099999904632568
SGEN,56.82538369574514,157.6699981689453,123.05,113.95,104.26,63.18000030517578,165.42999267578125
GDS,56.75862637852266,62.91999816894531,56.23,51.53,48.84,31.34000015258789,63.16999816894531
MASI,56.73009201203287,237.13999938964844,189.48,168.9,164.53,129.16000366210938,240.07000732421875
ODFL,56.6955410382496,152.75999450683594,132.01,129.96,125.18,87.38187408447266,153.63999938964844
FRPT,56.676914429642245,73.58999633789062,65.82,60.95,57.25,36.709999084472656,77.87000274658203
RDVT,56.64190029600556,20.389999389648438,18.95,18.54,17.3,9.09000015258789,26.479999542236328
ZTO,56.632454005727666,31.149999618530273,26.88,23.71,22.8,17.083364486694336,31.149999618530273
ADBE,56.62453186845749,367.510009765625,328.54,321.93,312.88,259.0299987792969,383.2799987792969
ALNY,56.62224761120773,136.1300048828125,118.56,111.93,104.13,65.86000061035156,145.6300048828125
VERU,56.611897273251394,3.8299999237060547,3.29,3.06,2.8,1.5499999523162842,4.579999923706055
SMG,56.57916833716367,139.82000732421875,110.8,107.87,106.98,77.61000061035156,139.82000732421875
VRTX,56.536529243297046,271.6300048828125,241.46,224.37,212.34,164.61000061035156,273.260009765625
SBAC,56.52527827910219,291.8599853515625,281.11,257.96,256.18,202.3033905029297,314.8299865722656
BKI,56.51968276713432,72.69999694824219,64.28,64.31,63.72,52.0099983215332,76.0999984741211
BLU,56.516792926711645,10.289999961853027,9.4,8.23,8.03,3.5999999046325684,11.149999618530273
KNSL,56.48791544288351,135.63999938964844,110.11,107.18,104.6,80.50471496582031,135.63999938964844
APTO,56.478912086736,7.739999771118164,6.77,5.22,4.51,1.8300000429153442,9.0
ASFI,56.46229906755655,11.34000015258789,9.82,9.63,9.05,4.610000133514404,11.59000015258789
DG,56.4195188891659,176.36000061035156,162.31,159.14,155.87,116.28007507324219,182.11000061035156
AU,56.30565560028017,26.170000076293945,20.76,20.4,20.36,11.277998924255371,26.81999969482422
SENEA,56.26256611589882,37.790000915527344,35.46,36.55,34.67,22.520000457763672,41.09000015258789
AUDC,56.257271503492476,33.79999923706055,23.96,23.33,22.1,13.56250286102295,34.15999984741211
DHR,56.239251641849194,161.42999267578125,146.57,148.43,146.38,121.22103881835938,169.50999450683594
LN,56.216706430726184,49.619998931884766,48.5,46.4,43.54,27.040000915527344,51.630001068115234
JD,56.20894273073816,46.779998779296875,41.99,37.54,35.61,25.760000228881836,47.5
CTLT,56.18705129584374,71.95999908447266,53.89,54.15,53.88,36.95000076293945,71.95999908447266
FIVN,56.16246562495149,104.52999877929688,80.13,70.67,67.5,46.900001525878906,105.0999984741211
AZN,56.14287346344252,53.290000915527344,46.35,46.89,45.98,36.16115188598633,54.040000915527344
TAL,56.116982738207376,54.79999923706055,52.45,49.18,45.38,30.979999542236328,59.470001220703125
MNTA,56.085457786294135,32.7599983215332,28.69,23.46,20.72,9.600000381469727,33.959999084472656
RLMD,56.05331939388619,41.349998474121094,36.52,35.1,28.81,6.760000228881836,50.119998931884766
ASPU,56.033255608657115,7.739999771118164,7.36,7.46,6.74,3.5899999141693115,10.180000305175781
CJJD,56.01888731045213,2.7300000190734863,1.91,1.67,1.53,1.0099999904632568,2.7300000190734863
ARES,55.9923544557937,34.380001068115234,31.53,32.64,31.45,22.709999084472656,40.60663986206055
ACIA,55.96405280171962,68.78500366210938,66.99,67.13,66.46,44.790000915527344,68.8499984741211
ARCT,55.92518292104679,39.22999954223633,19.35,13.86,13.17,5.78000020980835,41.380001068115234
XLRN,55.90216254160887,101.79000091552734,88.73,67.66,61.66,37.52000045776367,103.0
INTC,55.900785466782416,59.66999816894531,55.33,57.33,55.07,42.48189926147461,67.75174713134766
NVO,55.887093485140966,62.7599983215332,59.38,57.77,55.85,45.73993682861328,65.13999938964844
QTS,55.87987024729433,65.22000122070312,57.93,55.01,53.08,42.12788391113281,66.7300033569336
PDD,55.84688075525168,54.599998474121094,40.78,38.55,36.25,19.030000686645508,54.599998474121094
GMAB,55.84469952877277,27.520000457763672,21.99,22.31,21.69,16.3700008392334,27.520000457763672
FTNT,55.80101536350984,136.83999633789062,101.2,102.42,96.86,69.6500015258789,136.83999633789062
ARVN,55.78522603273214,52.779998779296875,45.89,40.21,36.19,15.390000343322754,54.630001068115234
EQIX,55.75433405385371,678.1599731445312,630.31,594.15,580.98,467.6867370605469,702.0
POPE,55.693787447279576,98.0,96.45,94.45,88.03,62.5319938659668,125.32133483886719
